"id	title	link	snippet",,,,,,,,,,,,,,,,
"191	Presumed asymptomatic carrier transmission of COVID-19	https://jamanetwork.com/journals/jama/article-abstract/2762028	Methods| In January 2020", we enrolled a familial cluster of 5 patients with fever and respiratory symptoms who were admitted to the Fifth People's Hospital of Anyang, Anyang, China, and 1 asymptomatic family member. This study was approved by the local …,,,,,,,,,,,,
"
209	[HTML][HTML] The reproductive number of COVID-19 is higher compared to SARS coronavirus	https://academic.oup.com/jtm/advance-article/doi/10.1093/jtm/taaa021/5735319?fbclid=IwAR3uhg3X7nS4A-ax2Ah-p_Al92EktHFIUj5CCBmCDSpbyft9UKEOtb4x4BI	… the COVID-19 virus. R0 is an indication of the transmissibility of a virus", representing the average,,,,,,,,,,,,,,,
number of new infections gener- ated by an infectious person in a totally naïve population. For,,,,,,,,,,,,,,,,
R0 > 1, the number infected is likely to increase, and for R0 < 1, transmission is likely … ,,,,,,,,,,,,,
"
210	[PDF][PDF] The SARS, MERS and novel coronavirus (COVID-19) epidemics, the newest and biggest global health threats: what lessons have we learned?	https://www.researchgate.net/profile/Md_Rahman583/publication/339435560_The_SARS_MERS_and_novel_coronavirusCOVID-19_epidemics_the_newest_and_biggest_global_health_threats_what_lessons_have_we_learned/links/5e51a38b458515072db2c69e/The-SARS-MERS-and-novel-coronavirusCOVID-19-epidemics-the-newest-and-biggest-global-health-threats-what-lessons-have-we-learned.pdf	… Prevention of zoonotic transmission Risk factors for COVID-19 are still largely unknown", how-,,,,,,,,,,,,,,,
ever, it is believed that the virus was transmitted to humans via contaminated live animals (snakes,,,,,,,,,,,,,,,
civet cats). All three beta coronaviruses emerged via zoonotic transmission … ,,,,,,,,,,,,,,,,
"
211	[HTML][HTML] Use of antiviral drugs to reduce COVID-19 transmission	https://www.thelancet.com/journals/langlo/article/PIIS2214109X(20)30114-5/fulltext	One of the main assumptions of the model by Hellewell and colleagues is that all individuals ",,,,,,,,,,,,,,,,
with symptomatic infection with severe acute respiratory syndrome (SARS) coronavirus 2 ,,,,,,,,,,,,,,,,
(SARS-CoV-2) are eventually tested and reported. However," under the guidelines of most countries …""",,,,,,,,,,,,,,,
"212	Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) and corona virus disease-2019 (COVID-19): the epidemic and the challenges	https://www.sciencedirect.com/science/article/pii/S0924857920300674	""… of transmission by asymptomatic carriers [12]", the SARS-CoV-2 can be transmitted effectively,,,,,,,,,,,,,,,
among … In addition to the high transmission efficiency of the SARS-CoV-2, the advancement and …,,,,,,,,,,,,,,,
On January 30,2020, the WHO declared the COVID-19 outbreak as the sixth public … ,,,,,,,,,,,,,,
"
213	[HTML][HTML] Active monitoring of persons exposed to patients with confirmed COVID-19—United States, January–February 2020	https://www.cdc.gov/mmwr/volumes/69/wr/mm6909e1.htm?fbclid=IwAR1Rj1iW-D_V7PEIIRCK15bSKMj19rKmHRWxZeihhgiyW_5TVoZwsjnFXnc	… An additional 146 persons exposed to the two patients with secondary COVID-19 transmission",,,,,,,,,,,,,,,,
underwent 14 days of active monitoring … All tested negative, and no further symptomatic,,,,,,,,,,,,,,,
COVID-19 cases (representing tertiary transmission) have been identified … ,,,,,,,,,,,,,,,,
"
214	Clinical characteristics of 24 asymptomatic infections with COVID-19 screened among close contacts in Nanjing, China	https://link.springer.com/article/10.1007/s11427-020-1661-4	… In brief", Case 13, an asymptomatic COVID-19 carriers transmitted the virus to his cohabiting family,,,,,,,,,,,,,,
members, and 1 of the infected individuals developed severe COVID-19 pneumonia and was …,,,,,,,,,,,,,,,
Figure 2 The transmission evidence from an asymptomatic COVID-19 carrier to … ,,,,,,,,,,,,,,,,
"
215	[HTML][HTML] Defining the epidemiology of Covid-19—studies needed	https://www.nejm.org/doi/full/10.1056/NEJMp2002125	Defining the Epidemiology of Covid-19 Experience with MERS", pandemic,,,,,,,,,,,,,,,
influenza, and other outbreaks has shown that as an epidemic evolves, we,,,,,,,,,,,,,,
face an urgent need to expand public health activities ...,,,,,,,,,,,,,,,,
"
216	Unique epidemiological and clinical features of the emerging 2019 novel coronavirus pneumonia (COVID‐19) implicate special control measures	https://onlinelibrary.wiley.com/doi/abs/10.1002/jmv.25748	… transmitted through respiratory aspirates", droplets, contacts, and feces, and aerosols transmission,,,,,,,,,,,,
is highly … The basic reproductive values (R0) of COVID-19 at the early stage were calculated,,,,,,,,,,,,,,,,
between 2 and 3.5, indicating that one patient could transmit the disease to … ,,,,,,,,,,,,,,,
"
217	Coronavirus disease (COVID‐19) and neonate: What neonatologist need to know	https://onlinelibrary.wiley.com/doi/abs/10.1002/jmv.25740	… This review describes the current understanding of COVID-19 infection in newborns and children …",,,,,,,,,,,,,,,,
2 (SARS-CoV-2) which not only has a strong human-to-human transmission,but also … to,,,,,,,,,,,,,,,
death[2]. SARS-CoV-2 is so aggressive that the infection has been transmitted to other … ,,,,,,,,,,,,,,,,
"
218	The effect of travel restrictions on the spread of the 2019 novel coronavirus (COVID-19) outbreak	https://science.sciencemag.org/content/early/2020/03/05/science.aba9757.abstract	… Research Article. The effect of travel restrictions on the spread of the 2019 novel coronavirus",,,,,,,,,,,,,,,,
(COVID-19) outbreak. Matteo Chinazzi 1 ,; Jessica T. Davis 1 ,; Marco Ajelli 2 ,; Corrado Gioannini,,,,,,,,,,,,,
3,; Maria Litvinova 3 ,; Stefano Merler 2 ,; Ana Pastore y Piontti 1 ,; Kunpeng Mu 1 ,; … ,,,,,,,,,,,
"
219	An analysis of 38 pregnant women with COVID-19, their newborn infants, and maternal-fetal transmission of SARS-CoV-2: maternal coronavirus infections and …	https://www.archivesofpathology.org/doi/abs/10.5858/arpa.2020-0901-SA	The emergence of a novel coronavirus, termed SARS-CoV-2, and the potentially life-threating respiratory disease that it can produce, COVID-19, has rapidly spread across the globe creating a massive public health problem. Previous epidemics of many emerging viral …
220	Coronavirus Disease 2019 (COVID-19) and Pregnancy: What obstetricians need to know	https://www.sciencedirect.com/science/article/pii/S0002937820301976	… MERS during pregnancy to inform care of pregnant women with COVID-19 until additional data",,,,,,,,,,,,,,,,
125 … transmitted by close person-to-person contact through contact of the mucus membranes of,,,,,,,,,,,,,,,,
the 140 … Fecal-oral transmission and transmission via fomites have also been reported … ,,,,,,,,,,,,,,,,
"
221	World Health Organization declares global emergency: A review of the 2019 novel coronavirus (COVID-19)	https://www.sciencedirect.com/science/article/pii/S1743919120301977	… Current knowledge is largely derived from similar coronaviruses", which are transmitted from,,,,,,,,,,,,,,,
human … exact mechanism of human-to-human and animal-to-human transmission to facilitate …,,,,,,,,,,,,,,,,
Evidently, the pandemic potential of COVID-19 demands rigorous surveillance and on-going … ,,,,,,,,,,,,,,,
"
222	[PDF][PDF] The serial interval of COVID-19 from publicly reported confirmed cases	https://www.medrxiv.org/content/medrxiv/early/2020/03/20/2020.02.19.20025452.full.pdf	… transmission dynamics of COVID-19 remain unclear ​(3)​. The serial interval of COVID-19 is …",,,,,,,,,,,,,,,,
Table S2. Model comparison for COVID-19 ​serial intervals based on all 468 reported,,,,,,,,,,,,,,,,
transmission events in China between January 21, 2020 and February 8, 2020 … ,,,,,,,,,,,,,,
"
223	[HTML][HTML] Features, evaluation and treatment coronavirus (COVID-19)	https://www.ncbi.nlm.nih.gov/books/NBK554776/	… to-human", and symptomatic people are the most frequent source of COVID-19 spread … The,,,,,,,,,,,,,,,
possibility of transmission before symptoms develop seems to be infrequent, although it … Moreover,,,,,,,,,,,,,,,
there are suggestions that individuals who remain asymptomatic could transmit the virus … ,,,,,,,,,,,,,,,,
"
224	Estimating the asymptomatic proportion of coronavirus disease 2019 (COVID-19) cases on board the Diamond Princess cruise ship, Yokohama, Japan, 2020	https://www.eurosurveillance.org/content/10.2807/1560-7917.ES.2020.25.10.2000180?utm_source=newmarkettoday.ca&utm_campaign=newmarkettoday.ca&utm_medium=referral	… could inform the intensity and range of social distancing strategies to combat COVID-19 is the …",,,,,,,,,,,,,,,,
the true burden of the disease and better interpret estimates of the transmission poten- tial … it is,,,,,,,,,,,,,,,,
well established that asymptomatic individuals are frequently able to transmit the virus to … ,,,,,,,,,,,,,,,,
"
225	Modelling transmission and control of the COVID-19 pandemic in Australia	https://arxiv.org/abs/2003.10218	In this paper we develop an agent-based model for a fine-grained computational simulation of the ongoing COVID-19 pandemic in Australia. This model is calibrated to reproduce several characteristics of COVID-19 transmission, accounting for its reproductive number …
226	[HTML][HTML] COVID-19: what is next for public health?	https://www.thelancet.com/journals/lancet/article/PIIS0140-6736(20)30374-3/fulltext?hss_channel=tw-27013292	… Efforts are currently underway in China", in the 24 countries to which infected persons have,,,,,,,,,,,,,,,
travelled, and in public conveyances, such as cruise ships, to interrupt transmission of all existing,,,,,,,,,,,,,
and potential chains of transmission, with elimination of COVID-19 in human populations … ,,,,,,,,,,,,,,,
"
227	[HTML][HTML] COVID-19 infection: origin, transmission, and characteristics of human coronaviruses	https://www.sciencedirect.com/science/article/pii/S2090123220300540	Abstract The coronavirus disease 19 (COVID-19) is a highly transmittable and pathogenic viral infection caused by severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2), which emerged in Wuhan, China and spread around the world. Genomic analysis revealed …
228	Perinatal Transmission of COVID-19 Associated SARS-CoV-2: Should We Worry?	https://academic.oup.com/cid/advance-article-abstract/doi/10.1093/cid/ciaa226/5809260	We presented two cases of COVID-19 associated SARS-CoV-2 infection during third trimester of pregnancy. Both mothers and newborns had excellent outcomes. We failed to identify SARS-CoV-2 in all the products of conception and the newborns. This report …
229	Interrupting COVID-19 transmission by implementing enhanced traffic control bundling: Implications for global prevention and control efforts.	https://europepmc.org/article/med/32205090	We argue that enhanced Traffic Control Bundling (eTCB) can interrupt the community-hospital-community transmission cycle, thereby limiting COVID-19's impact. Enhanced TCB is an expansion of the traditional TCB that proved highly effective during Taiwan's 2003 …
230	A review of coronavirus disease-2019 (COVID-19)	https://link.springer.com/article/10.1007/s12098-020-03263-6	… no history of travel to China suggesting that local human-to-human transmission was occurring …",,,,,,,,,,,,,,,,
people returning from China and placed them in isolation and testing them for COVID-19. Soon,,,,,,,,,,,,,,,,
it was apparent that the infection could be transmitted from asymptomatic people and … ,,,,,,,,,,,,,,,,
"
231	Artificial intelligence forecasting of covid-19 in china	https://arxiv.org/abs/2002.07112	… We also forecast the possible trend and plateau of Covid-19 transmission in China and group",,,,,,,,,,,,,,,,
the provinces/cities into clusters according to the dynamic patterns of Covid-19 transmission.,,,,,,,,,,,,,,,,
The … different dynamic patterns of the transmission of Covid-19 across the provinces/cities … ,,,,,,,,,,,,,,,,
"
232	Interrupting transmission of COVID-19: lessons from containment efforts in Singapore	https://academic.oup.com/jtm/advance-article-abstract/doi/10.1093/jtm/taaa039/5804843	Highlight Despite multiple importations resulting in local chains of transmission, Singapore has been able to control the COVID-19 outbreak without major disruption to daily living. In this article, we describe the combination of measures taken by Singapore to contain COVID …
233	Indirect Virus Transmission in Cluster of COVID-19 Cases, Wenzhou, China, 2020.	https://www.ncbi.nlm.nih.gov/pubmed/32163030	To determine possible modes of virus transmission, we investigated a cluster of COVID-19 cases associated with a shopping mall in Wenzhou, China. Data indicated that indirect transmission of the causative virus occurred, perhaps resulting from virus contamination of …
234	[HTML][HTML] Responding to Covid-19—a once-in-a-century pandemic?	https://www.nejm.org/doi/full/10.1056/nejmp2003762	Responding to Covid-19 Bill Gates writes that in any crisis", leaders have,,,,,,,,,,,,,,,
two equally important responsibilities: solve the immediate problem and,,,,,,,,,,,,,,,,
keep it from happening again. In the case of the Co...,,,,,,,,,,,,,,,,
"
235	Enteric involvement of coronaviruses: is faecal–oral transmission of SARS-CoV-2 possible?	https://www.thelancet.com/journals/langas/article/PIIS2468-1253(20)30048-0/fulltext	… oral transmission", it is possible that SARS-CoV-2 could also be transmitted via this … studies to,,,,,,,,,,,,,,,
determine whether the virus remains viable in conditions that would favour such transmission …,,,,,,,,,,,,,,,,
2 RNA can also be detected in the incubation or convalescence phases of COVID-19 … ,,,,,,,,,,,,,,,,
"
236	Characteristics of and important lessons from the coronavirus disease 2019 (COVID-19) outbreak in China: summary of a report of 72 314 cases from the Chinese …	https://jamanetwork.com/journals/jama/article-abstract/2762130	… with early cases suggestive of a continuous common source", potentially zoonotic spillover at,,,,,,,,,,,,,,,
Huanan Seafood Wholesale Market, and later cases suggestive of a propagated source as the,,,,,,,,,,,,,,,
virus began to be transmitted from person to … Transmission of COVID-19 is occurring in … ,,,,,,,,,,,,,,,,
"
237	An investigation of transmission control measures during the first 50 days of the COVID-19 epidemic in China	https://science.sciencemag.org/content/early/2020/03/30/science.abb6105.abstract	Responding to an outbreak of a novel coronavirus (agent of COVID-19) in December 2019, China banned travel to and from Wuhan city on 23 January and implemented a national emergency response. We investigated the spread and control of COVID-19 using a unique …
238	[PDF][PDF] Considerations for quarantine of individuals in the context of containment for coronavirus disease (‎ COVID-19)‎: interim guidance, 29 February 2020	https://apps.who.int/iris/bitstream/handle/10665/331299/WHO-2019-nCov-IHR_Quarantine-2020.1-ara.pdf	… delay the peak of an epidemic in an area where local transmission is ongoing … Cleaning personnel",,,,,,,,,,,,,,,,
need to be educated and protected from COVID-19 infection and ensure … The document may not,,,,,,,,,,,,,,,,
be reviewed, abstracted, quoted, reproduced, transmitted, distributed, translated or … ,,,,,,,,,,
"
239	Coronavirus disease 2019 (COVID-19): emerging and future challenges for dental and oral medicine	https://journals.sagepub.com/doi/abs/10.1177/0022034520914246	… Download Citation. Download article citation data for: Coronavirus Disease 2019 (COVID-19):",,,,,,,,,,,,,,,,
Emerging and Future Challenges for Dental and Oral Medicine. L. Meng, F. Hua, and Z. Bian.,,,,,,,,,,,,,,
Journal of Dental Research 0 10.1177/0022034520914246. Download Citation … ,,,,,,,,,,,,,,,,
"
240	Positive RT-PCR test results in patients recovered from COVID-19	https://jamanetwork.com/journals/jama/article-abstract/2762452	… That Require Attention and Action. John EL Wong", MBBS; Yee Sin Leo, MBBS, MPH;,,,,,,,,,,,,,
Chorh Chuan Tan, MBBS, PhD. Research Letter. Presumed Asymptomatic Carrier,,,,,,,,,,,,,,
Transmission of COVID-19. Yan Bai, MD; Lingsheng Yao … ,,,,,,,,,,,,,,,
"
241	Preparedness and vulnerability of African countries against importations of COVID-19: a modelling study	https://www.sciencedirect.com/science/article/pii/S0140673620304116	… Discussion. Early detection of COVID-19 importation and prevention of onward",,,,,,,,,,,,,,,,
transmission are crucial challenges to all countries at risk of importation from areas,,,,,,,,,,,,,,,,
with active transmission in China. 12 countries in Asia, Europe … ,,,,,,,,,,,,,,,
"
242	[HTML][HTML] The incubation period of coronavirus disease 2019 (COVID-19) from publicly reported confirmed cases: estimation and application	https://annals.org/AIM/FULLARTICLE/2762808/INCUBATION-PERIOD-CORONAVIRUS-DISEASE-2019-COVID-19-FROM-PUBLICLY-REPORTED	… Methods. Data Collection. We searched for news and public health reports of confirmed",,,,,,,,,,,,,,,,
COVID-19 cases in areas with no known community transmission, including provinces,,,,,,,,,,,,,,,
regions, and countries outside Hubei. We searched … ,,,,,,,,,,,,,,,
"
243	Coronavirus disease 2019 (COVID-19): a perspective from China	https://pubs.rsna.org/doi/abs/10.1148/radiol.2020200490	… 9). On the basis of current data", it seems that COVID-19 might be initially hosted by bats, and,,,,,,,,,,,,,,
might have been transmitted to humans via pangolin (22) or other wild animals (17,23) sold at,,,,,,,,,,,,,,,
the Huanan seafood market but subsequent spread via human-to-human transmission … ,,,,,,,,,,,,,,,,
"
244	Serial interval of novel coronavirus (COVID-19) infections	https://www.sciencedirect.com/science/article/pii/S1201971220301193	… secondary transmission may occur prior to illness onset. The COVID-19 serial interval is",,,,,,,,,,,,,,,,
also shorter than the serial interval of severe acute respiratory … COVID-19 infection leads to,,,,,,,,,,,,,,,,
rapid cycles of transmission from one generation of cases to the next … ,,,,,,,,,,,,,,,,
"
245	Can we contain the COVID-19 outbreak with the same measures as for SARS?	https://www.sciencedirect.com/science/article/pii/S1473309920301298	… By contrast", preliminary evidence from exported COVID-19 cases suggest that transmission during,,,,,,,,,,,,,,,
the early phase of illness also seems to contribute to overall transmission;36, 37 therefore,,,,,,,,,,,,,,,
isolation of more severely ill patients at the time of presentation to health-care facilities … ,,,,,,,,,,,,,,,,
"
246	Review of the clinical characteristics of coronavirus disease 2019 (COVID-19)	https://link.springer.com/article/10.1007/s11606-020-05762-w	… 17. Chen H", Guo J, Wan C, et al. Clinical characteristics and intrauterine vertical transmission,,,,,,,,,,,,,
potential of COVID-19 infection in nine pregnant women: a retrospective review of medical,,,,,,,,,,,,,,,,
records. https://doi.org/10.1016/S0140-6736(20)30360-3. 18 … ,,,,,,,,,,,,,,,,
"
247	[PDF][PDF] Critical preparedness, readiness and response actions for COVID-19: interim guidance, 22 March 2020	https://apps.who.int/iris/bitstream/handle/10665/331511/Critical%20preparedness%20readiness%20and%20response%20actions%20COVID-10%202020-03-22_FINAL-eng.pdf	… Background Several countries have demonstrated that COVID-19 transmission from one person",,,,,,,,,,,,,,,,
to another can be slowed or stopped … The Table describes the preparedness, readiness and,,,,,,,,,,,,,,,
response actions for COVID-19 for each transmission scenario … ,,,,,,,,,,,,,,,,
"
248	A spatial model of CoVID-19 transmission in England and Wales: early spread and peak timing	https://www.medrxiv.org/content/10.1101/2020.02.12.20022566v1.abstract	Background: An outbreak of a novel coronavirus, named CoVID-19, was first reported in China on 31 December 2019. As of 9 February 2020, cases have been reported in 25 countries, including probable cases of human-to-human transmission in England. Methods …
249	Turbulent gas clouds and respiratory pathogen emissions: potential implications for reducing transmission of COVID-19	https://jamanetwork.com/journals/jama/article-abstract/2763852	The current coronavirus disease 2019 (COVID-19) outbreak vividly demonstratestheburdenthatrespiratoryinfect… in an intimately connected world. Unprecedented containment and mitigation policies have been implemented in an effort to limit the spread of COVID-19, including travel restrictions …
250	[PDF][PDF] Epidemiology and Transmission of COVID-19 in Shenzhen China: Analysis of 391 cases and 1,286 of their close contacts	https://www.medrxiv.org/content/medrxiv/early/2020/03/19/2020.03.03.20028423.full.pdf	Background Rapid spread of SARS-CoV-2 in Wuhan prompted heightened surveillance in Shenzhen and elsewhere in China. The resulting data provide a rare opportunity to measure key metrics of disease course, transmission, and the impact of control. Methods The …
251	Transmission dynamics of the COVID‐19 outbreak and effectiveness of government interventions: A data‐driven analysis	https://onlinelibrary.wiley.com/doi/abs/10.1002/jmv.25750	Using the parameterized SEIR model, we simulated the spread dynamics of COVID‐19 outbreak and impact of different control measures, conducted the sensitivity analysis to identify the key factor, plotted the trend curve of effective reproductive number (R) and …
252	The transmission and diagnosis of 2019 novel coronavirus infection disease (COVID‐19): A Chinese perspective	https://onlinelibrary.wiley.com/doi/abs/10.1002/jmv.25749	Abstract 2019 novel coronavirus (SARS‐CoV‐2), which originated in Wuhan, China, has attracted the world's attention over the last month. The Chinese government has taken emergency measures to control the outbreak and has undertaken initial steps in the …
253	Understanding of COVID‐19 based on current evidence	https://onlinelibrary.wiley.com/doi/abs/10.1002/jmv.25722	… have contributed to the differences between the studies. Studies with a larger sample",,,,,,,,,,,,,,,,
size may give a better estimation of the case fatality rate and transmission rate of,,,,,,,,,,,,,,,,
the COVID‐19. We know that the other two major zoonotic … ,,,,,,,,,,,,,,,,
"
254	COVID-19—new insights on a rapidly changing epidemic	https://jamanetwork.com/journals/jama/article-abstract/2762510	… The virus appears to be transmitted primarily through large droplets", but it has also been,,,,,,,,,,,,,,,
found in stool and blood, raising questions about other potential modes of transmission …,,,,,,,,,,,,,,,
Presumed asymptomatic carrier transmission of COVID-19. JAMA … ,,,,,,,,,,,,,,,,
"
255	Coronavirus (COVID-19) outbreak: what the department of endoscopy should know	https://www.sciencedirect.com/science/article/pii/S0016510720302455	… Page 7. the air that may be transmitted by coughs", sneezes, or certain medical procedures and,,,,,,,,,,,,,,
does not provide complete protection from germs and other contaminants … 13. Gu J, Han B, Wang,,,,,,,,,,,,,,
J. COVID-19: Gastrointestinal manifestations and potential fecal-oral transmission … ,,,,,,,,,,,,,,,,
"
256	Chest imaging appearance of COVID-19 infection	https://pubs.rsna.org/doi/abs/10.1148/ryct.2020200028	… Coronavirus (MERS-CoV) which was first reported in 2012 in Saudi Arabia (transmitted from",,,,,,,,,,,,,,,,
dromedary … The COVID-19 is the latest addition to this group and has been reported to affect … market;,,,,,,,,,,,,,,,,
where live animals on sale indicate possible animal-to-human transmission 2 . More … ,,,,,,,,,,,,,,,,
"
257	[PDF][PDF] Novel corona virus disease (COVID-19) in pregnancy: What clinical recommendations to follow	https://progyn.org/covid19/pdf/C19%20Norway%20Recomm.pdf	… Incubation period of COVID19 is about 2-14 days", but infected per- sons can transmit the virus,,,,,,,,,,,,,,,
via close contact and respiratory drop- lets perhaps … Limited data obtained from cases of pregnant,,,,,,,,,,,,,,,,
women with COVID- 19 suggest that the transplacental transmission is unlikely … ,,,,,,,,,,,,,,,,
